Time,Sips,Drink
07:22,1,Lipton Icetea Dose Lemon
07:32,3,Lipton Icetea Dose Lemon
07:35,4,Lipton Icetea Dose Lemon
07:43,2,Lipton Icetea Dose Lemon
07:55,7,Lipton Icetea Dose Lemon
08:16,1,RedBull Dose Sommer Edition
08:21,3,RedBull Dose Sommer Edition
08:30,2,RedBull Dose Sommer Edition
08:35,5,RedBull Dose Sommer Edition
08:43,3,RedBull Dose Sommer Edition
09:25,2,Henniez Flasche Mango
12:14,3,Henniez Flasche Mango
13:02,1,Lavabo Wasser
14:38,10,Henniez Flasche Mango
15:38,1,RedBull Dose Sommer Edition
15:45,5,RedBull Dose Sommer Edition
15:55,1,RedBull Dose Sommer Edition
16:01,4,RedBull Dose Sommer Edition
16:07,2,RedBull Dose Sommer Edition
16:10,2,RedBull Dose Sommer Edition
16:54,1,Migros Icetea Flasche Lemon
17:05,2,Migros Icetea Flasche Lemon
17:32,5,Migros Icetea Flasche Lemon
17:59,4,Migros Icetea Flasche Lemon
18:23,2,Migros Icetea Flasche Lemon
19:15,2,Migros Icetea Flasche Lemon
19:45,2,Migros Icetea Flasche Lemon
20:09,1,Hahnenwasser
21:32,1,Hahnenwasser
22:10,1,Hahnenwasser
22:23,2,Hahnenwasser
22:34,1,Migros Icetea Flasche Lemon
22:45,2,Migros Icetea Flasche Lemon
22:56,9,Migros Icetea Flasche Lemon
23:30,7,Hahnenwasser
